target,mission,mag,brightness_bin,segment,accepted,sde,error
KIC 9487871,kepler,11.954,bright,5,False,8.477247329262806,rejected: BLS found a signal (SDE 8.5)
KIC 10134470,kepler,12.06,bright,5,False,,no data
KIC 8396230,kepler,11.582,bright,4,False,8.867929335935669,rejected: BLS found a signal (SDE 8.9)
KIC 4253949,kepler,11.326,bright,2,False,,no data
KIC 4274884,kepler,12.297,bright,3,False,8.216056426387063,rejected: BLS found a signal (SDE 8.2)
KIC 8865799,kepler,11.492,bright,4,False,7.6611584199338525,rejected: BLS found a signal (SDE 7.7)
KIC 8007451,kepler,10.472,bright,4,False,7.141471914895487,rejected: BLS found a signal (SDE 7.1)
KIC 9598344,kepler,12.498,bright,1,False,7.891286562207297,rejected: BLS found a signal (SDE 7.9)
KIC 6528714,kepler,12.051,bright,3,False,9.741720756947473,rejected: BLS found a signal (SDE 9.7)
KIC 11442353,kepler,9.147,bright,3,False,7.802996215356757,rejected: BLS found a signal (SDE 7.8)
KIC 7919620,kepler,11.714,bright,2,False,8.578360197834526,rejected: BLS found a signal (SDE 8.6)
KIC 6345659,kepler,12.166,bright,0,False,10.349951561574342,rejected: BLS found a signal (SDE 10.3)
KIC 5521533,kepler,11.277,bright,4,False,9.643494627735747,rejected: BLS found a signal (SDE 9.6)
KIC 10489286,kepler,11.836,bright,0,False,7.8752897155449535,rejected: BLS found a signal (SDE 7.9)
KIC 7898748,kepler,12.289,bright,2,False,11.509387114629876,rejected: BLS found a signal (SDE 11.5)
KIC 2165356,kepler,12.283,bright,3,False,9.41222948300598,rejected: BLS found a signal (SDE 9.4)
KIC 10135715,kepler,11.573,bright,1,False,8.704077979884543,rejected: BLS found a signal (SDE 8.7)
KIC 7703530,kepler,10.665,bright,4,False,8.985840953414336,rejected: BLS found a signal (SDE 9.0)
KIC 3964954,kepler,11.902,bright,3,False,8.078004085195376,rejected: BLS found a signal (SDE 8.1)
KIC 11854122,kepler,12.362,bright,2,False,8.868367781358783,rejected: BLS found a signal (SDE 8.9)
KIC 9702369,kepler,9.554,bright,1,False,9.000837781729567,rejected: BLS found a signal (SDE 9.0)
KIC 4840377,kepler,12.11,bright,5,False,12.199546560959812,rejected: BLS found a signal (SDE 12.2)
KIC 6935035,kepler,12.445,bright,1,False,7.54350055846369,rejected: BLS found a signal (SDE 7.5)
KIC 11038312,kepler,11.386,bright,5,False,7.411264390201265,rejected: BLS found a signal (SDE 7.4)
KIC 9164938,kepler,11.49,bright,2,False,13.714858925172507,rejected: BLS found a signal (SDE 13.7)
KIC 11704004,kepler,9.155,bright,4,False,7.344218652379779,rejected: BLS found a signal (SDE 7.3)
KIC 6937758,kepler,9.76,bright,0,False,20.308367862197976,rejected: BLS found a signal (SDE 20.3)
KIC 9902808,kepler,11.629,bright,3,False,7.557571150349193,rejected: BLS found a signal (SDE 7.6)
KIC 6697458,kepler,11.537,bright,3,False,10.940964525560435,rejected: BLS found a signal (SDE 10.9)
KIC 7418367,kepler,9.8,bright,1,False,8.24559055508739,rejected: BLS found a signal (SDE 8.2)
KIC 10148118,kepler,10.766,bright,3,False,7.580549486426581,rejected: BLS found a signal (SDE 7.6)
KIC 10015567,kepler,11.964,bright,4,False,9.761375869645516,rejected: BLS found a signal (SDE 9.8)
KIC 5213792,kepler,11.359,bright,1,False,9.41761085768043,rejected: BLS found a signal (SDE 9.4)
KIC 8155028,kepler,11.994,bright,0,False,7.827116513873235,rejected: BLS found a signal (SDE 7.8)
KIC 8869290,kepler,11.974,bright,3,False,7.501775443804524,rejected: BLS found a signal (SDE 7.5)
KIC 8446738,kepler,11.064,bright,4,False,11.757786668118726,rejected: BLS found a signal (SDE 11.8)
KIC 11127190,kepler,11.42,bright,0,False,9.057137403900706,rejected: BLS found a signal (SDE 9.1)
KIC 11468988,kepler,11.117,bright,3,False,7.078359401878185,rejected: BLS found a signal (SDE 7.1)
KIC 8840075,kepler,10.353,bright,5,False,7.2559897232088115,rejected: BLS found a signal (SDE 7.3)
KIC 6110695,kepler,10.351,bright,1,False,16.041314924028555,rejected: BLS found a signal (SDE 16.0)
KIC 4655790,kepler,12.476,bright,1,False,9.283743425680502,rejected: BLS found a signal (SDE 9.3)
KIC 11029523,kepler,12.305,bright,3,False,8.396902956096318,rejected: BLS found a signal (SDE 8.4)
KIC 8621095,kepler,11.971,bright,4,False,10.162967093106358,rejected: BLS found a signal (SDE 10.2)
KIC 3217556,kepler,11.021,bright,3,False,9.1481723580031,rejected: BLS found a signal (SDE 9.1)
