target,mission,mag,brightness_bin,segment,accepted,error,sde,path,n_points,baseline_days,cadence_min,oot_scatter_ppm,split
KIC 10424379,kepler,12.628,medium,3,True,,5.773311052514988,data/baselines/kepler_KIC_10424379.npz,2106.0,44.442005673357926,29.423654275014997,270.93153750366247,train
KIC 11599438,kepler,13.591,medium,5,True,,5.968928578494409,data/baselines/kepler_KIC_11599438.npz,1624.0,33.47107899446564,29.425127813592553,485.62040320424,train
KIC 10147859,kepler,13.51,medium,5,True,,6.03492499771051,data/baselines/kepler_KIC_10147859.npz,2144.0,44.99560339637537,29.42493620328605,122.91178662354922,test
KIC 11026724,kepler,13.544,medium,4,True,,6.840185207830686,data/baselines/kepler_KIC_11026724.npz,2116.0,44.9961863341814,29.425310905789956,135.80803869489196,train
KIC 5461285,kepler,12.667,medium,4,True,,6.174410859310711,data/baselines/kepler_KIC_5461285.npz,2116.0,44.99670035055169,29.425640366971493,95.04993903391409,train
KIC 10649815,kepler,13.552,medium,1,True,,5.9332077583095595,data/baselines/kepler_KIC_10649815.npz,2106.0,44.44273665718356,29.42414847202599,233.46981009421975,test
KIC 3728988,kepler,13.124,medium,4,True,,5.381322964734127,data/baselines/kepler_KIC_3728988.npz,2115.0,44.99685752957157,29.425760453450497,128.30144001388638,train
KIC 11447799,kepler,13.134,medium,0,True,,6.777531221082724,data/baselines/kepler_KIC_11447799.npz,1624.0,33.47115966225101,29.42520291544497,240.60294525618608,train
KIC 9469149,kepler,13.021,medium,0,True,,5.531992685600525,data/baselines/kepler_KIC_9469149.npz,1624.0,33.47142487311794,29.42543793353252,113.64488329182454,train
KIC 9569289,kepler,13.065,medium,5,True,,6.507206824619574,data/baselines/kepler_KIC_9569289.npz,2144.0,44.99497647635144,29.42452029325068,117.53740316052212,train
KIC 6384132,kepler,12.813,medium,1,True,,6.760915494824144,data/baselines/kepler_KIC_6384132.npz,2075.0,44.99573580356082,29.42499964905437,132.1843929780688,test
KIC 2849057,kepler,13.55,medium,3,True,,5.407404661343536,data/baselines/kepler_KIC_2849057.npz,2106.0,44.44239704976644,29.42391679622233,361.2717969405244,train
KIC 8950502,kepler,13.789,medium,0,True,,5.717677522638604,data/baselines/kepler_KIC_8950502.npz,1624.0,33.471384594464325,29.425395018188283,168.11820299265688,test
KIC 11152908,kepler,13.57,medium,2,True,,6.946754568272329,data/baselines/kepler_KIC_11152908.npz,2091.0,44.99344150983234,29.423493421054445,447.4842925449934,test
KIC 6278118,kepler,13.332,medium,2,True,,5.3249660996131345,data/baselines/kepler_KIC_6278118.npz,2091.0,44.99287717829429,29.42313996143639,121.66568965258384,test
KIC 10452898,kepler,12.881,medium,3,True,,5.195910681246307,data/baselines/kepler_KIC_10452898.npz,2146.0,44.996229758857226,29.42534687463194,489.3472939014903,train
KIC 11668686,kepler,12.639,medium,1,True,,5.236154521580353,data/baselines/kepler_KIC_11668686.npz,2075.0,44.9956005976419,29.424918260774575,428.87124817330306,train
KIC 7908819,kepler,13.461,medium,0,True,,5.77067118654335,data/baselines/kepler_KIC_7908819.npz,1624.0,33.4716075151955,29.425600385293365,122.36247662522952,train
