target,mission,label,published_period,published_depth_ppm,published_duration_hr,mag
TIC 283722336,tess,transit,3.0929386,254.2319025,0.8776502,4.6278
TIC 136916387,tess,transit,11.5778362,217.3994918,3.8772499,5.0494
TIC 261136679,tess,transit,6.2678139,321.0,2.789,5.1054
TIC 332064670,tess,transit,0.7365463,384.6733121,1.5732208,5.2058
TIC 459978312,tess,false_positive,23.28798,120.0,3.462,5.28906
TIC 297967252,tess,false_positive,9.6837908,4965.2496516,1.6988586,5.5324
TIC 458856474,tess,false_positive,6.081043,15384.1717123,4.818249,5.666
TIC 188768068,tess,transit,2.1779407,110.0,2.098,5.8961
TIC 178155732,tess,transit,3.58529,180.0,2.495,5.9053
TIC 130181866,tess,transit,7.107934,501.6058242,3.440833,6.2683
TIC 198384408,tess,false_positive,9.1238101,283.324087,5.1188391,6.3196
TIC 397058826,tess,transit,6.8291029,815.4832965,9.8781473,6.33044
TIC 354006740,tess,false_positive,1.76406,870.0,3.086,6.4018
TIC 407966340,tess,transit,7.0491608,300.5227138,3.5024531,6.4386
TIC 87216634,tess,transit,12.9256051,790.0,1.691,6.5715
TIC 21832928,tess,transit,16.3413889,372.0970618,5.3764481,6.6813
TIC 397362481,tess,transit,6.2031608,210.8404349,1.5987379,6.7213
TIC 412961700,tess,false_positive,2.5183846,616.0227482,2.1596206,6.725
TIC 441420236,tess,transit,8.4536777,2872.2887525,3.5738006,6.755
TIC 224600500,tess,false_positive,0.6763235,30.1617977,4.916459,6.76754
TIC 317548889,tess,transit,6.8659582,334.0145589,3.455761,6.7799
TIC 374908020,tess,false_positive,36.22214,7170.0,5.107,6.841
TIC 256364928,tess,transit,2.2185748,25854.2144559,1.8233621,6.8481
TIC 233059608,tess,false_positive,1.4415044,547.3172736,0.9274524,6.895
TIC 82308728,tess,transit,9.4893231,940.0,2.757,6.9859
TIC 279741379,tess,transit,7.7897886,169.0703497,2.3434341,6.9934
TIC 20182165,tess,false_positive,9.7815625,20040.0,3.736,7.0166
TIC 200723869,tess,transit,18.3877081,1191.0283192,6.405153,7.0286
TIC 364107753,tess,false_positive,3.9043855,255.0,3.525,7.0514
TIC 394137592,tess,transit,11.535076,2389.90616,8.555958,7.1062
TIC 420814525,tess,transit,3.5247546,17803.0,2.958,7.1274
TIC 259863352,tess,false_positive,21.701669,211.6567325,8.2676424,7.1278
TIC 436873727,tess,transit,22.0933922,2633.6009111,5.4095076,7.1323
TIC 141663464,tess,false_positive,1.76447,2640.0,2.749,7.185
TIC 207084429,tess,false_positive,4.89577,360.0,2.478,7.1995
TIC 269450900,tess,false_positive,2.32439,2704.18,4.453,7.3163
TIC 55092869,tess,transit,4.7359232,2338.8745559,7.0819612,7.3212
TIC 441462736,tess,transit,14.2811731,762.9376583,8.571366,7.3566
TIC 22221375,tess,transit,3.9846589,445.0,2.146,7.3635
TIC 19451711,tess,false_positive,0.3969687,110.7179018,1.5006666,7.3645
TIC 290348383,tess,transit,6.441006,914.0,1.812,7.3661
TIC 403224672,tess,transit,1.0082361,228.0,1.41,7.384
KIC 5217733,kepler,variable,161.2529031,94008.0,24.3711,7.391
TIC 91987762,tess,transit,45.5221456,3028.5453279,4.3839392,7.4098
TIC 271478281,tess,transit,15.3419095,683.0,2.736,7.4259
TIC 138017750,tess,false_positive,2.4727425,2929.0,2.341,7.42812
TIC 263003176,tess,transit,14.3391387,363.2368496,4.2356531,7.4371
TIC 286923464,tess,transit,6.1349783,3860.0,5.661,7.4556
TIC 392681545,tess,transit,7.4903271,225.5988767,5.800713,7.4961
TIC 69679391,tess,transit,3.4741012,15748.0,3.317,7.55216
TIC 270238522,tess,false_positive,1.36991,1170.0,4.156,7.5586
TIC 451599528,tess,false_positive,341.2791676,8583.5584652,7.0132492,7.5622
TIC 16740101,tess,transit,1.4810903,6788.5145388,4.1588291,7.58204
TIC 264678534,tess,transit,16.2016817,885.0,2.792,7.5825
TIC 97700520,tess,false_positive,5.4255548,14939.6342222,3.9637474,7.6095
TIC 437011608,tess,transit,4.2403543,842.0,2.353,7.6253
TIC 255930614,tess,transit,2.8758831,3152.0,3.14,7.6262
TIC 302773669,tess,transit,21.216464,6499.0,3.045,7.6353
TIC 4897275,tess,transit,16.7100422,615.2873631,5.4004652,7.6474
TIC 47617038,tess,false_positive,3.3513304,400.0,2.739,7.6581
TIC 21535395,tess,transit,2.8009915,204.8553325,1.4985399,7.6586
TIC 359271092,tess,transit,7.5768334,289.0,2.073,7.66874
TIC 96246348,tess,false_positive,1.4095184,2841.5103258,0.9484999,7.678
TIC 143350972,tess,false_positive,1.0817,341.533,1.588,7.6818
TIC 69747919,tess,transit,9.9783319,179.2248456,4.2281711,7.7275
TIC 331484419,tess,false_positive,6.25656,875.0,3.509,7.74689
TIC 100990000,tess,transit,9.5730787,288.090893,3.3490357,7.757
TIC 464646604,tess,transit,7.7121208,728.4849109,2.4343481,7.7582
TIC 467651916,tess,transit,3.9813082,464.0,3.1,7.7746
TIC 202426247,tess,transit,1.0662082,151.0,1.142,7.7885
TIC 441546821,tess,transit,,6318.0730583,12.9674227,7.7897
TIC 75878355,tess,transit,95.8531625,5975.0,5.024,7.7945
TIC 375506058,tess,transit,2.650232,6449.0,2.03,7.79824
TIC 294090620,tess,false_positive,8.044239,4937.505363,5.3289306,7.81307
TIC 414870287,tess,false_positive,4.95898,230.232,1.831,7.8165
TIC 304142124,tess,transit,55.087,2509.0,5.709,7.8436
TIC 410214986,tess,transit,8.1382222,3852.0299874,3.2797025,7.8541
TIC 290131778,tess,transit,3.3088922,4736.0,6.114,7.87598
TIC 129979528,tess,transit,1.2198382,12160.1096043,2.8341804,7.87611
TIC 307809773,tess,transit,2.7694936,712.0,1.031,7.89863
KIC 4150611,kepler,eclipse,94.212787,55654.0,14.48,7.899
TIC 447283466,tess,false_positive,1.01606,240.0,2.843,7.9059
TIC 158241252,tess,transit,1.8498567,195.4102498,2.518276,7.9147
TIC 349827430,tess,transit,5.5514888,9493.0,4.335,7.9179
TIC 453211454,tess,transit,21.4003129,960.7539877,5.3847459,7.9259
TIC 305943739,tess,false_positive,5.3073459,200.0,3.714,7.948
TIC 391949880,tess,transit,4.9404714,455.0,1.954,7.9849
