log_depth,log_duration_hr,log_period,duration_phase_frac,sde,log_snr,n_transits,odd_even_sigma,odd_even_frac,secondary_sigma,secondary_depth_ratio,sec_sigma_2p,sec_ratio_2p,sec_ratio_2p_dev,odd_even_sigma_2p,trap_t23_t14,trap_depth_ratio,shape_resid_ratio,log_rho_implied,depth_consistency,ls_power_ratio,oot_skew,target,mission,label,detected,bls_period,bls_depth,bls_duration,sde_val,snr_val,detrend_method,published_period,published_depth_ppm,mag,error
,,,,,,,,,,,,,,,,,,,,,,KIC 7090801,kepler,variable,,,,,,,,,,,no detection (SDE 5.2)
,,,,,,,,,,,,,,,,,,,,,,KIC 2696703,kepler,eclipse,,,,,,,,,,,no detection (SDE 6.3)
,,,,,,,,,,,,,,,,,,,,,,KIC 8478994,kepler,transit,,,,,,,,,,,no detection (SDE 6.1)
,,,,,,,,,,,,,,,,,,,,,,KIC 10614012,kepler,eclipse,,,,,,,,,,,no detection (SDE 6.6)
,,,,,,,,,,,,,,,,,,,,,,KIC 3441784,kepler,eclipse,,,,,,,,,,,no detection (SDE 6.4)
,,,,,,,,,,,,,,,,,,,,,,KIC 8848288,kepler,eclipse,,,,,,,,,,,no detection (SDE 6.8)
,,,,,,,,,,,,,,,,,,,,,,KIC 3967501,kepler,eclipse,,,,,,,,,,,no detection (SDE 5.3)
,,,,,,,,,,,,,,,,,,,,,,KIC 3834317,kepler,variable,,,,,,,,,,,no detection (SDE 6.9)
,,,,,,,,,,,,,,,,,,,,,,KIC 6049470,kepler,variable,,,,,,,,,,,no detection (SDE 6.6)
,,,,,,,,,,,,,,,,,,,,,,KIC 12167361,kepler,eclipse,,,,,,,,,,,no detection (SDE 6.8)
,,,,,,,,,,,,,,,,,,,,,,KIC 7868092,kepler,variable,,,,,,,,,,,no detection (SDE 6.3)
,,,,,,,,,,,,,,,,,,,,,,KIC 4269252,kepler,blend,,,,,,,,,,,no detection (SDE 6.2)
,,,,,,,,,,,,,,,,,,,,,,KIC 7115661,kepler,variable,,,,,,,,,,,no detection (SDE 6.3)
,,,,,,,,,,,,,,,,,,,,,,KIC 10214328,kepler,variable,,,,,,,,,,,no detection (SDE 6.8)
,,,,,,,,,,,,,,,,,,,,,,KIC 6286633,kepler,variable,,,,,,,,,,,no detection (SDE 5.4)
,,,,,,,,,,,,,,,,,,,,,,KIC 10532751,kepler,variable,,,,,,,,,,,no detection (SDE 6.1)
,,,,,,,,,,,,,,,,,,,,,,KIC 11296798,kepler,variable,,,,,,,,,,,no detection (SDE 6.1)
,,,,,,,,,,,,,,,,,,,,,,KIC 3941219,kepler,variable,,,,,,,,,,,no detection (SDE 6.2)
,,,,,,,,,,,,,,,,,,,,,,KIC 5006817,kepler,variable,,,,,,,,,,,no detection (SDE 5.1)
,,,,,,,,,,,,,,,,,,,,,,KIC 3560301,kepler,variable,,,,,,,,,,,no detection (SDE 5.6)
,,,,,,,,,,,,,,,,,,,,,,KIC 7431665,kepler,eclipse,,,,,,,,,,,no detection (SDE 6.9)
,,,,,,,,,,,,,,,,,,,,,,KIC 7117050,kepler,variable,,,,,,,,,,,no detection (SDE 6.2)
,,,,,,,,,,,,,,,,,,,,,,KIC 6116605,kepler,variable,,,,,,,,,,,no detection (SDE 5.9)
,,,,,,,,,,,,,,,,,,,,,,KIC 4577484,kepler,variable,,,,,,,,,,,no detection (SDE 6.1)
,,,,,,,,,,,,,,,,,,,,,,KIC 8687088,kepler,blend,,,,,,,,,,,no detection (SDE 6.7)
